Date	Time (EST)	Wind (MPH)	Visibility (Miles)	Weather	Sky Conditions	Air Temperature (F)	Dewpoint Temperature (F)	6 hour maximum Temperature (F)	6 hour Minimum Temperature (F)	Relative Humdity (%)	Wind Chill (F)	Heat Index (F)	Pressure Altimeter (in Hg)	Pressure Sea Level (mb)	Precipitation 1 hr (inches)	Precipitation 3 hr (inches)	Precipitation 6 Hr (inches)
18	18:53	W 6	10.00	Overcast	OVC055	33	19 	37	33	56%	27	NA	30.37	1028.7			
18	17:53	W 5	10.00	Overcast	OVC055	34	20 			56%	29	NA	30.34	1027.6			
18	16:53	W 6	10.00	Mostly Cloudy	BKN055	34	20 			56%	29	NA	30.26	1024.8			
18	15:53	NW 15	10.00	Mostly Cloudy	BKN044	35	19 			52%	25	NA	30.22	1023.6			
18	14:53	NW 14	10.00	Mostly Cloudy	BKN038	34	21 			59%	25	NA	30.18	1022.1			
18	13:53	NW 13 G 22	10.00	Mostly Cloudy	BKN043	37	21 			52%	29	NA	30.13	1020.6			
18	12:53	NW 23 G 26	10.00	Mostly Cloudy and Breezy	BKN035	36	23 	36	26	59%	24	NA	30.12	1020.1			0.04
18	11:53	NW 15	10.00	Mostly Cloudy	FEW022 BKN029	33	25 			72%	23	NA	30.11	1019.9			
18	10:53	N 9	10.00	Mostly Cloudy	FEW008 FEW040 BKN200	31	26 			82%	23	NA	30.09	1019.1			
18	09:53	N 8	7.00	Partly Cloudy	FEW008 SCT041 SCT110	29	25 			85%	21	NA	30.05	1018.0		0.04	
18	08:53	NW 7	2.00	Light Snow Freezing Fog	FEW008 BKN035 OVC048	27	25 			92%	19	NA	30.03	1017.2	0.01		
18	07:53	N 7	0.50	Snow Freezing Fog	VV014	26	25 			96%	18	NA	30.01	1016.6	0.03		
18	06:53	N 7	0.50	Snow Freezing Fog	VV011	26	25 	31	26	96%	18	NA	29.98	1015.6	0.03		0.13
18	05:53	N 12	0.50	Snow Freezing Fog	VV006	28	27 			96%	18	NA	29.95	1014.6	0.05		
18	04:53	Calm	1.00	Light Snow Fog/Mist	VV019	31	30 			96%	NA	NA	29.95	1014.6	0.03		
18	03:53	SE 6	3.00	Light Snow Fog/Mist	BKN008 OVC022	31	30 			96%	25	NA	29.96	1014.8		0.02	
18	02:53	SE 6	3.00	Light Snow Fog/Mist	BKN008 OVC012	31	29 			92%	25	NA	29.99	1015.9	0.01		
18	01:53	S 7	1.25	Light Snow Fog/Mist	FEW006 OVC017	30	29 			96%	23	NA	30.04	1017.6	0.01		
18	00:53	S 10	1.25	Light Snow Fog/Mist	OVC018	29	27 	29	24	92%	20	NA	30.09	1019.1			0.01
17	23:53	E 6	0.75	Light Snow Fog/Mist	VV011	26	24 			92%	19	NA	30.12	1020.3	0.01		
17	22:53	Calm	10.00	Overcast	BKN024 BKN050 OVC110	26	19 			75%	NA	NA	30.18	1022.3			
17	21:53	SE 6	10.00	Overcast	SCT030 BKN040 OVC110	25	16 			69%	18	NA	30.21	1023.4			
17	20:53	SE 7	10.00	Overcast	FEW030 SCT140 OVC200	24	15 			68%	16	NA	30.24	1024.6			
17	19:53	S 7	10.00	Overcast	FEW150 OVC200	25	13 			60%	17	NA	30.29	1026.1			
17	18:53	S 9	10.00	Overcast	OVC220	25	12 	27	24	58%	16	NA	30.28	1025.9			
17	17:53	S 10	10.00	Overcast	OVC220	25	10 			53%	15	NA	30.31	1026.7			
17	16:53	S 8	10.00	Overcast	OVC220	26	5 			40%	18	NA	30.33	1027.5			
17	15:53	SE 5	10.00	Mostly Cloudy	BKN250	26	3 			37%	20	NA	30.34	1027.9			
17	14:53	SE 3	10.00	Mostly Cloudy	BKN250	26	3 			37%	NA	NA	30.31	1026.9			
17	13:53	Calm	10.00	Mostly Cloudy	BKN250	25	1 			35%	NA	NA	30.32	1027.1			
17	12:53	NE 3	10.00	Mostly Cloudy	BKN250	25	1 	25	13	35%	NA	NA	30.34	1027.7			
17	11:53	NW 9	10.00	Partly Cloudy	SCT250	23	2 			40%	13	NA	30.37	1029.0			
17	10:53	N 5	10.00	A Few Clouds	FEW250	21	-0 			39%	14	NA	30.40	1029.7			
17	09:53	NW 8	10.00	A Few Clouds	FEW130	20	-1 			40%	10	NA	30.42	1030.6			
17	08:53	W 9	10.00	Fair	CLR	18	-1 			43%	7	NA	30.42	1030.4			
17	07:53	Vrbl 3	10.00	Fair	CLR	15	-0 			51%	NA	NA	30.38	1029.3			
17	06:53	W 7	10.00	Fair	CLR	14	-0 	19	13	53%	4	NA	30.34	1027.9			
17	05:53	NW 8	10.00	Fair	CLR	14	-0 			53%	3	NA	30.30	1026.6			
17	04:53	NW 7	10.00	Fair	CLR	15	-0 			51%	5	NA	30.26	1024.9			
17	03:53	W 5	10.00	Fair	CLR	15	1 			53%	7	NA	30.20	1023.1			
17	02:53	NW 8	10.00	Fair	CLR	16	2 			54%	5	NA	30.16	1021.5			
17	01:53	NW 10	10.00	Fair	CLR	15	4 			61%	3	NA	30.12	1020.1			
17	00:53	NW 15	10.00	Fair	CLR	18	5 	34	18	57%	4	NA	30.06	1018.2			
16	23:53	NW 22	10.00	Fair and Breezy	CLR	21	6 			52%	5	NA	30.02	1016.9			
16	22:53	NW 24 G 37	10.00	Fair and Breezy	CLR	23	6 			48%	7	NA	29.96	1014.8			
16	21:53	N 25 G 32	10.00	Partly Cloudy and Breezy	SCT037	26	13 			57%	11	NA	29.89	1012.3			
16	20:53	NW 24 G 33	10.00	Mostly Cloudy and Breezy	BKN034	30	19 			64%	16	NA	29.81	1009.6			
16	19:53	NW 16	10.00	Partly Cloudy	SCT030	32	22 			66%	21	NA	29.75	1007.5			
16	18:53	NW 18	10.00	A Few Clouds	FEW030	34	26 	43	34	73%	23	NA	29.69	1005.4			0.02
16	17:53	W 9	10.00	Mostly Cloudy	SCT030 BKN080 BKN110	36	32 			86%	29	NA	29.63	1003.5	0.02		
16	16:53	NW 15 G 21	5.00	Light Rain Snow	FEW027 BKN041 OVC070	41	32 			70%	33	NA	29.59	1002.1			
16	15:53	NW 8	10.00	Overcast	SCT049 BKN070 OVC110	41	30 			65%	36	NA	29.53	1000.2			
16	14:53	NW 8	10.00	Overcast	FEW040 BKN070 OVC200	40	30 			68%	35	NA	29.51	999.5			
16	13:53	NW 12	10.00	Overcast	OVC041	39	30 			70%	32	NA	29.50	999.0			
16	12:53	NW 12	10.00	Overcast	OVC036	39	31 	41	32	73%	32	NA	29.49	998.7			
16	11:53	NW 7	10.00	Overcast	OVC035	39	33 			79%	34	NA	29.49	998.9			
16	10:53	N 3	5.00	Patches Fog	OVC042	36	35 			97%	NA	NA	29.51	999.5			
16	09:53	Calm	0.13	Fog	BKN001 OVC015	33	33 			100%	NA	NA	29.53	1000.0			
16	08:53	Calm	0.13	Fog	VV001	33	33 			100%	NA	NA	29.55	1000.8			
16	07:53	Calm	0.13	Fog	VV001	33	33 			100%	NA	NA	29.55	1000.6			
16	06:53	NW 3	0.50	Fog/Mist	OVC002	32	32 	33	30	100%	NA	NA	29.53	1000.3			
16	05:53	N 3	0.50	Fog	OVC001	32	32 			100%	NA	NA	29.54	1000.4			
16	04:53	Calm	0.50	Fog	VV001	32	32 			100%	NA	NA	29.54	1000.5			
16	03:53	Calm	1.00	Fog/Mist	BKN002 OVC050	32	32 			100%	NA	NA	29.55	1000.9			
16	02:53	Calm	0.75	Fog/Mist	BKN002 OVC050	31	31 			100%	NA	NA	29.56	1001.1			
16	01:53	Calm	0.25	Freezing Fog	VV001	31	31 			100%	NA	NA	29.55	1001.0			
16	00:53	NW 3	0.25	Freezing Fog	VV002	30	30 	38	29	100%	NA	NA	29.55	1000.7			
15	23:53	Calm	0.50	Freezing Fog	BKN000 BKN002	29	28 			96%	NA	NA	29.56	1001.2			
15	22:53	Calm	3.00	Fog/Mist	VV004	31	31 			100%	NA	NA	29.55	1000.9			
15	21:53	S 3	4.00	Fog/Mist	CLR	36	36 			100%	NA	NA	29.54	1000.5			
15	20:53	S 6	5.00	Fog/Mist	CLR	37	36 			96%	32	NA	29.57	1001.5			
15	19:53	S 8	3.00	Fog/Mist	BKN002	37	37 			100%	31	NA	29.57	1001.5			
